word	Stance_favor	Stance_against
desh	-1.1920928955078125e-07	-6.671020680304451e-11
ek	3.5762786865234375e-07	-1.6964476698411168e-11
nayi	0.0	5.307731684722761e-12
dish	7.748603820800781e-06	-6.988504393234951e-12
a	-1.1920928955078125e-07	5.244144962029962e-12
ki	3.5762786865234375e-07	-2.908819296543186e-10
or	5.7220458984375e-06	-3.1767220798339935e-11
badhega.thank	7.665157318115234e-05	-2.5804528652750847e-11
you	-1.1920928955078125e-07	-1.0800184531423174e-12
sir	8.940696716308594e-06	-5.036437489280843e-09
deshwashiyo	0.0	-4.729940397685262e-15
dukhi	0.0	-6.58907607295478e-15
hain	0.0	2.375240574972043e-13
ya	0.0	4.919142892502448e-13
nhi	0.0	2.253040961262831e-13
but	0.0	4.151150180976143e-13
opposition	0.0	-2.1595277649444355e-12
leaders	0.0	2.0658041249843606e-13
notebandi	0.0	-8.792553490843957e-12
se	8.344650268554688e-07	-2.6782920499457408e-12
bahut	0.0	-5.775801278223858e-12
pareshan	0.0	-4.172584586875638e-12
hain	0.0	-5.718068163060308e-13
kinyoki	1.1920928955078125e-07	-3.4858713138241626e-12
ye	0.0	-1.693015627864114e-12
hi	0.0	-2.4627639337582163e-12
corruption	0.0033077001571655273	-1.2146086191933136e-05
ke	3.0994415283203125e-06	-3.7673423408657314e-11
biggest	0.23635822534561157	-1.6823007342736673e-07
birth	2.384185791015625e-07	-2.2689367745742928e-11
donner	0.0	1.3877533020303923e-13
hai.	0.0	-3.4279534506104214e-13
://twitter.com/nirbhaisingh/status/	0.0	-7.539533233846818e-13
…	0.0	2.027388131507768e-13
sanchhep	-1.0013580322265625e-05	-7.090010523125301e-11
me	-1.0251998901367188e-05	-8.864686762422025e-12
kahna	4.780292510986328e-05	1.717701328396437e-11
haiki	5.9604644775390625e-06	2.795558923240904e-12
notebandi	-6.079673767089844e-06	-2.0802699840505312e-12
se	5.5789947509765625e-05	2.188639547373583e-11
pakistan,	-2.5033950805664062e-06	4.222422758659583e-12
jali	-3.933906555175781e-06	9.000479181398013e-12
note	2.86102294921875e-05	2.395783224584669e-12
banane	-1.0609626770019531e-05	6.7164503125827224e-12
wale,hawala	0.0020900964736938477	-5.968284755297759e-10
wale,atankwadi	0.955992579460144	-3.066607519031095e-07
etc	-7.748603820800781e-06	-2.6105118067221156e-11
effected	0.03978341817855835	-1.7677999508691755e-08
hai.jishke	5.888938903808594e-05	-3.348228291844002e-11
pas	-7.748603820800781e-06	-8.217175551106237e-11
kaladhan	0.010089576244354248	-1.5519850649070577e-06
ji	6.874474878237891e-10	1.2484896672049217e-08
lagta	-6.145741053842357e-07	1.2602487053925415e-08
hain	6.403299002144536e-10	1.247463998765852e-08
aplogo	6.363445326229566e-10	6.3633160962695e-09
ne	-8.48946513087867e-09	-2.2944117006318265e-07
notebandi	-2.6242434891798894e-09	-3.274321329627128e-07
ke	-2.3878587995795897e-09	1.1915028075293321e-08
pahale	6.592332235655363e-10	1.0902072133944785e-08
hi	4.9102338861573e-10	1.2586920838941751e-08
apna	6.689914178181766e-10	1.2465595666810714e-08
aur	6.803752006234731e-10	1.0739991118668968e-08
apne	-4.291254906974018e-09	-5.218314527155599e-07
logo	-4.0873510132044544e-10	-3.4343369037515004e-08
ka	-1.1484813100537394e-09	-1.5882353210372457e-08
bandobast	-0.0040720608085393906	-0.9244616031646729
kar	-1.7699302023999053e-09	-1.9669583650738787e-07
rakha	-4.810124298870733e-09	-4.99751922689029e-06
hain,tav	-1.8787849054291428e-10	-5.966126259693283e-09
logo	-3.3092295570469332e-09	-1.8523298450645598e-09
pareshani	-7.51256568065628e-09	-4.893586719845189e-06
nahi	-6.385495510130568e-08	-1.3591428796644323e-05
para.	6.669633179079426e-10	5.8356794951919255e-09
modi	4.990914385416545e-05	0.0006584954098798335
ji	5.2277868235250935e-05	-0.017058489844202995
ki	-0.9898951649665833	0.000591872725635767
